id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7499,JP,Osaka,Tokaido branch relocation,2015,2023,2.4,2.4,1,69000,JPY,690
7504,JP,Osaka,Higashi Line,1999,2019,20.3,0,0,120000,JPY,1044
7505,JP,Osaka,Monorail extension,2018,2029,8.9,0,4,105000,JPY,1050
7506,JP,Tokyo,Fukutoshin Line,2001,2008,8.9,8.9,8,250000,JPY,1850
7507,JP,Tokyo,Minatomirai Line,1993,2004,4.1,4.1,6,257000,JPY,1619.1
7512,JP,Tokyo,Oedo Line ring,1992,2000,27.8,27.8,27,988600,JPY,6327.04
7513,JP,Tokyo,Haneda express line,2022,2029,5.6,5.6,2,300000,JPY,3000
7514,JP,Tokyo,Tama Monorail first phase,1991,2000,16,0,19,242200,JPY,1453.2
7515,JP,Tokyo,Monorail to Tokyo Station,2015,2025,3,0,NA,109500,JPY,1095
7520,JP,Tokyo,Tokyo-Ueno Line,2008,2015,3.8,0,0,40000,JPY,360
7521,JP,Tokyo,Sotetsu Shin-Yokohama JR Line,2010,2019,2.7,2.1,1,111400,JPY,1080.58
7522,JP,Tokyo,Sotetsu Shin-Yokohama Tokyu Line,2010,2022,10,8,2,290800,JPY,2762.6
7523,JP,Fukuoka,Nanakuma Line extension,2014,2022,1.6,1.6,2,58700,JPY,587
7528,BR,Sao Paulo,Line 6 phase 1,2015,2023,15.9,13.4,15,9600,BRL,4224
7529,CH,Lucerne,Zentralbahn,2008,2013,1.5,1.4,1,220,CHF,149.736
7530,CH,Zurich,Durchmesserlinie,2007,2014,9.6,4.8,1,2030,CHF,1380.4
7531,JP,Tokyo,Tsukuba Express,1997,2005,58.3,16.3,20,949400,JPY,7310.38
7536,IN,Bangalore,Phase 2,2017,2024,73.9,14,62,306950,INR,14426.65
7537,IN,Bangalore,Phase 1,2006,2017,42.3,8.5,41,144050,INR,9219.2
7538,IN,Gurgaon,Phase 1,2009,2013,5.5,0,6,10880,INR,696.32
7539,IN,Gurgaon,Phase 2,2013,2017,6.3,0,5,24230,INR,1259.96
7544,IN,Nagpur,Phase 1,2014,2020,38.2,0,40,86800,INR,4687.2
7546,IN,Ahmadabad,Phase 1,2015,2023,40,6.4,33,127000,INR,5969
7547,IN,Hyderabad,Phase 1,2012,2020,72,0,66,188000,INR,9400
7553,IN,Chennai,Phase 1,2009,2019,45.1,24,34,200000,INR,10800
7554,IN,Chennai,Phase 1 extension,2016,2020,9.1,2.4,9,37700,INR,1809.6
7555,IN,Chennai,Phase 2,2020,2026,118.9,42.8,128,691800,INR,32514.6
7560,CH,Geneva,CEVA,2013,2019,8.8,8.4,4,1567,CHF,1065.56
7561,UA,Kyiv,M3 to Vynohradar,2018,2022,3.7,3.7,2,5993,UAH,725.153
7562,UA,Kyiv,M4,2021,2026,20,13,13,2000,USD,6000
7563,UA,Kharkiv,M3 extension,2018,2024,3.5,3.5,2,382,EUR,1489.8
7568,TW,Taipei,Sanying Line,2016,2023,14.29,0,12,50200,TWD,3333.28
7569,TW,Taipei,Danhai LRT,2014,2024,14,0,20,15300,TWD,1015.92
7570,TW,Taipei,Circular Line first section,2011,2020,15.4,1.1,14,69970,TWD,4646.008
7571,TW,Taipei,Airport MRT,2006,2017,51,10.7,22,113850,TWD,7559.64
7576,TW,Taipei,Taoyuan MRT Green Line,2019,2026,27.8,12.5,21,98264,TWD,6524.7296
7578,TW,Taipei,Taoyuan Underground,2019,2030,17.9,17.9,8,105600,TWD,7011.84
7579,TW,Kaohsiung,Red and Orange Lines,2001,2008,43,31.8,38,181300,TWD,12038.32
7584,TW,Kaohsiung,Urban Railway Underground,2008,2018,15.4,15.4,10,99870,TWD,6631.368
7585,TW,Tainan,Underground Project,2019,2024,8.2,8.2,3,29360,TWD,1949.504
7586,TW,Taichung,Green Line,2010,2020,16.7,0,18,59337,TWD,3939.9768
7587,AU,Perth,Forrestfield-Airport Link,2016,2021,8.5,8.5,3,1860,AUD,1283.4
7592,JP,Tokyo,Yurikamome,1988,1995,12,0,12,170200,JPY,919.08
7593,AR,Buenos Aires,RER,2020,2026,20,20,4,2300,USD,4646
7594,DE,Nuremberg,U3 extension,2020,2025,0.6,0.6,1,138,EUR,178.75
7595,DE,Cologne,North-South Stadtbahn,2003,2015,4,4,6,1040,EUR,1352
7600,DE,Berlin,U8 to Wittenau,1985,1994,3.6,3.6,4,520,EUR,676
7601,DE,Berlin,U2 to Pankow,1997,2000,0.8,0.8,1,54,EUR,70.2
7602,DE,Frankfurt,U-Bahn Europaviertel,2019,2025,2.7,1.4,4,374,EUR,485.55
7603,PE,Lima,Line 2,2014,2025,35,35,35,5836,USD,11088.4
7608,MY,Kuala Lumpur,Kajang Line,2012,2017,51,9.5,31,21000,MYR,14700
7609,MY,Kuala Lumpur,Putrajaya Line (MRT 2),2016,2023,52.2,13.5,41,30530,MYR,21371
7610,TR,Istanbul,M2-M6,1992,2015,26.79,22.6,19,1750,USD,3150
7611,TR,Istanbul,M3 Phase 1,2006,2013,15.9,15.9,11,1356,USD,2169.6
7616,TR,Istanbul,M4 Phase 1,2005,2012,21.7,21.7,16,1288,USD,2189.6
7617,TR,Istanbul,M4 Phase 2,2013,2016,4.4,4.4,3,145,USD,333.5
7618,TR,Istanbul,M5 Phase 1,2011,2018,19.7,19.7,16,866,USD,1991.8
7619,TR,Istanbul,BC1,2004,2013,13.6,13.6,5,1650,USD,2805
7624,TR,Istanbul,CR3,2011,2019,63,0,36,1298,USD,2985.4
7625,TR,Istanbul,M7 Phase1-2,2014,2022,23.75,22.85,19,896,USD,2688
7626,TR,Izmir,M1 Phase 1,1995,2000,11.6,3.4,10,600,USD,1200
